Product,Price,Shades,Number of Shades,Description,Types,Category
In Extreme Dimension Lash Mascara / Mini M·A·C,$14.00,[],0,"Travel Size, Fun Shades, Volumizing/Curling",Mascara,Eyes
Haute & Naughty Waterproof Lash Mascara,$24.00,[],0,"Double Effect, Defining, Waterproof",Mascara,Eyes
Haute & Naughty Lash Mascara,$24.00,[],0,"Double Effect, Defining, Volumizing",Mascara,Eyes
False Lashes Maximizer ,$20.00,[],0,"Ultimate Undercoat, Nourishing, Boosts Mascara",Mascara,Eyes
Mixing Medium Lash,$15.00,[],0,"Mascara Primer, Emollient Formula, Colourless, Conditioning",Mascara,Eyes
Eye Brows Big Boost Fibre Gel,$23.00,"['Fling', 'Tapered', 'Lingering', 'Brunette', 'Stylized', 'Stud', 'Spiked', 'Strut']",8,"Adds Volume With Microfibres, Grooms/Shapes/Builds Brows, 24-Hour Waterproof Wear",Eyebrow,Eyes
Eye Brows Styler,$19.00,"['Brunette', 'Fling', 'Lingering', 'Spiked', 'Strut', 'Stud', 'Stylized', 'Tapered']",8,"Precise Microfine Tip, 12-Hour Wear, Naturally Defined Look",Eyebrow,Eyes
Shape + Shade Brow Tint,$23.00,"['Spiked', 'Stud', 'Taupe', 'Lingering', 'Cork', 'Fling']",6,"Dual-Ended Product, Liquid/Powder Formulas for Natural Shading/Shaping, Waterproof",Eyebrow,Eyes
Veluxe Brow Liner,$23.00,"['Brunette', 'DeepBrunette', 'DeepDarkBrunette', 'Fling', 'Omega', 'Redhead', 'Taupe', 'Velvetstone']",8,"Pencil-Style, Long-Wearing, Added Spoolie",Eyebrow,Eyes
Brow Set,$19.00,[],0,"brow set, brow setter, well-groomed brows, feather brow",Eyebrow,Eyes
Great Brows,$30.00,"['Lingering', 'Spiked', 'Taupe']",3,"All-In-One Kit, Long-Wearing, Portable",Eyebrow,Eyes
Fluidline Brow Gelcreme,$19.00,"['DeepDarkBrunette', 'TrueBrunette']",2,"Gel-Like Formula, Waterproof, Long-Wearing",Eyebrow,Eyes
75 LASH,$18.00,[],0,"Multi-layered, Crisscross Pattern, Dramatic",Eyelashes,Eyes
76 LASH,$18.00,[],0,"Varying Lengths, Wispy, Natural-Looking",Eyelashes,Eyes
3 Lash,$18.00,[],0,"Adds Length, Full, Natural-Looking",Eyelashes,Eyes
4 Lash,$18.00,[],0,"Natural Length, Wispy, Natural-Looking",Eyelashes,Eyes
7 Lash,$18.00,[],0,"Natural Length, Glamorous, Natural-Looking",Eyelashes,Eyes
30 Lash,$18.00,[],0,"Individual Lashes, Three Lengths, Customizable",Eyelashes,Eyes
33 Lash,$18.00,[],0,"Natural Length, Mod-Looking, Flirtatious",Eyelashes,Eyes
34 Lash,$18.00,[],0,"Dramatic Length, Wispy, Winged-Looking",Eyelashes,Eyes
36 Lash,$18.00,[],0,"Natural Length, Full, Winged-Looking",Eyelashes,Eyes
48 Lash,$18.00,[],0,"Dramatic Length, Full, Wispy",Eyelashes,Eyes
Duo Brush On Striplash Adhesive,$10.00,[],0,"Latex-Free Formula, 2 Shades, Thin Brush Applicator",Eyelashes,Eyes
Duo Adhesive,$10.00,[],0,"Latex Formula, Dries Clear, Long-Wearing",Eyelashes,Eyes
70 LASH,,[],0,"Dramatically Winged, Crisscross Pattern, Ultra-Glamorous",Eyelashes,Eyes
LOVE IS LOVE EYE SHADOW PALETTE BY JUSTIN TEODORO,$50.00,[],0,"6 Eye Shadow Shades, Limited-Edition Design By Justin Teodoro, Exclusively Online For $50",Eye Palettes,Eyes
Eye Shadow x 4 : Li Bai,$35.00,[],0,"Coordinated Classic Colours, Portable, Special Packaging",Eye Palettes,Eyes
Eye Shadow x 4: Han Xin,$35.00,[],0,"Coordinated Classic Colours, Portable, Special Packaging",Eye Palettes,Eyes
Eye Shadow x 4: Zhao Yun,$35.00,[],0,"Coordinated Classic Colours, Portable, Special Packaging",Eye Palettes,Eyes
Eye Shadow x 4 : Baili Yueshou,$35.00,[],0,"Coordinated Classic Colours, Portable, Special Packaging",Eye Palettes,Eyes
Glitter,$23.00,"['3DBrassGold', '3DBlack', '3DLavender', '3DPaleMint', '3DPink', '3DPlatinum', '3DSilver', 'BlackHologram', 'BrightBronze', 'Cerulean', 'ChunkyLime', 'Copper', 'Emerald', 'Fuchsia', 'Gold', 'Green', 'GreyHologram', 'IridescentHotPink', 'IridescentSage', 'Pink', 'PinkHologram', 'Platinum', 'PurpleHologram', 'ReflectsBlue', 'ReflectsBronze', 'ReflectsCopper', 'ReflectsGold', 'ReflectsPearl', 'ReflectsPurpleDuo', 'ReflectsRed', 'ReflectsRust', 'ReflectsTransparentPink', 'ReflectsTransparentTeal', 'ReflectsTurquatic', 'ReflectsVeryPink', 'Rose', 'Ruby', 'Silver', 'SilverHologram', 'TealHologram', 'Turquoise']",41,"Multi-Effect, Sparkly Finish, For Skin Or Hair",Glitters,Eyes
Mixing Medium Shine,$23.00,[],0,"Colourless, Shiny Finish, Customizable",Glitters,Eyes
Mixing Medium Matte,$23.00,[],0,"Colourless, Matte Finish, Customizable",Glitters,Eyes
Face & Body Mixing Medium,$23.00,[],0,"Buildable Coverage, Satin Finish, Long-Wearing",Glitters,Eyes
Alcohol Base Mixing Medium,$23.00,[],0,"Buildable Coverage, Lightweight, Quick-Drying",Glitters,Eyes
Mixing Medium Gel,$23.00,[],0,"Gel Formula, Colourless, Mixable",Glitters,Eyes
Acrylic Paint,$23.00,"['BasicRed', 'BlackBlack', 'GenuineOrange', 'Hi-DefCyan', 'LandscapeGreen', 'PrimaryYellow', 'ProcessMagenta', 'PureWhite', 'RichPurple']",9,"12-Hour Wear, For Face Or Body, Flexible",Glitters,Eyes
Clear Gloss,$23.00,[],0,"Transparent, Glossy Finish, Highlighting",Glitters,Eyes
M·A·C Matte,$24.00,[],0,"Cream Formula, Sheer Coverage,  Mattifying",Glitters,Eyes
Studio Fix Fluid SPF 15,$33.00,"['C4', 'NC10', 'NC12', 'NC13', 'NC15', 'NC16', 'NC17', 'NC18', 'NC20', 'NC25', 'NC5', 'N4', 'N4.5', 'N4.75', 'NW10', 'NW13', 'NW15', 'NW18', 'C40', 'C3.5', 'NC27', 'NC30', 'N5', 'N6', 'N6.5', 'NW20', 'NW22', 'NW25', 'C4.5', 'C5', 'NC35', 'NC37', 'NC38', 'NC40', 'NC42', 'C45', 'NW30', 'NW33', 'NW35', 'C8', 'NC44', 'NW40', 'NW43', 'NW44', 'NW45', 'NC45', 'NC45.5', 'NC46', 'NW46', 'NW47', 'NW48', 'NW50', 'C55', 'NC47', 'NW53', 'NC50', 'NC55', 'NC58', 'NC60', 'NW55', 'NW57', 'NW58', 'NW60']",63,"24-Hour Medium-To-Full Coverage, Matte Finish, Controls Oil/Shine",Foundation,Face
Studio Fix Powder Plus Foundation,$33.00,"['NW58', 'NW55', 'NW50', 'NW48', 'NW46', 'NW45', 'N9', 'NC55', 'NC50', 'NC47', 'NC46', 'NC45', 'C8', 'NW44', 'NC43.5', 'NW43', 'NW40', 'NC44.5', 'NC43', 'NC42', 'C40', 'C7', 'C6', 'NW35', 'NW33', 'NW30', 'NW25', 'NW22', 'N5', 'NC41', 'NC40', 'NC35', 'C35', 'C5.5', 'C5', 'C4.5', 'NC30', 'NC25', 'C30', 'C4', 'C3.5', 'C3', 'NW20', 'NW18', 'NW15', 'NW13', 'NW10', 'N4', 'N3', 'NC20', 'NC15', 'NC10', 'C2']",53,"12-Hour Medium-To-Full Coverage, Ultra-Matte Finish, Controls Oil/Shine",Foundation,Face
Studio Fix Soft Matte Foundation Stick,$33.00,"['NC13', 'NW13', 'NC15', 'NW15', 'NC16', 'NW18', 'NC17', 'NC18', 'NC20', 'NW20', 'NC25', 'NW25', 'NW22', 'NC27', 'NC30', 'NW30', 'NC35', 'NW35', 'NC37', 'NC38', 'NC40', 'NC42', 'NC44', 'NW43', 'NC45', 'NW45', 'NW47', 'NC50', 'NW50', 'NC55', 'NW55', 'NC60', 'NW60']",33,"Medium Buildable Coverage, Natural Matte Finish, On-The-Go Foundation",Foundation,Face
